"Town","FIPS","Year","Utility","Name","Telephone","Website"
"East Lyme","0901123400","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Easton","0900123890","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"East Windsor","0900324800","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Ellington","0901325360","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Enfield","0900325990","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Essex","0900726270","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Fairfield","0900126620","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Farmington","0900327600","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Franklin","0901129910","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Glastonbury","0900331240","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Goshen","0900532290","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Granby","0900332640","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Greenwich","0900133620","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Griswold","0901133900","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Groton","0901134250","2016","Electric","Groton Utilities Electric Division","(860) 446-4000","www.grotonutilities.com/"
"Guilford","0900934950","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Haddam","0900735230","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Hamden","0900935650","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Hampton","0901536000","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Hartford","0900337070","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Hartland","0900337140","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Harwinton","0900537280","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Hebron","0901337910","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Kent","0900540290","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Killingly","0901540500","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Killingworth","0900740710","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Lebanon","0901142390","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Ledyard","0901142600","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Lisbon","0901143230","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Litchfield","0900543370","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Lyme","0901144210","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Madison","0900944560","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Manchester","0900344700","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Mansfield","0901344910","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Marlborough","0900345820","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Meriden","0900946520","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Middlebury","0900946940","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Middlefield","0900747080","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Middletown","0900747360","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Milford","0900947535","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Monroe","0900148620","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Montville","0901148900","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Morris","0900549460","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Naugatuck","0900949950","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"New Britain","0900350440","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"New Canaan","0900150580","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"New Fairfield","0900150860","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"New Hartford","0900551350","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"New Haven","0900952070","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Newington","0900352140","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"New London","0901152350","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"New Milford","0900552630","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Newtown","0900152980","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Norfolk","0900553470","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"North Branford","0900953890","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"North Canaan","0900554030","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"North Haven","0900954870","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"North Stonington","0901155500","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Norwalk","0900156060","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Norwich","0901156270","2016","Electric","Norwich Public Utilities","(860) 887-2555",-666666
"Old Lyme","0901157040","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Old Saybrook","0900757320","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Orange","0900957600","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Oxford","0900958300","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Plainfield","0901559980","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Plainville","0900360120","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Plymouth","0900560750","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Pomfret","0901561030","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Portland","0900761800","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Preston","0901162150","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Prospect","0900962290","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Putnam","0901562710","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Redding","0900163480","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Ridgefield","0900163970","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Rocky Hill","0900365370","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Roxbury","0900565930","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Salem","0901166210","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Salisbury","0900566420","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Scotland","0901567400","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Seymour","0900967610","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Sharon","0900567960","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Shelton","0900168170","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Sherman","0900168310","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Simsbury","0900368940","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Somers","0901369220","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Southbury","0900969640","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Southington","0900370550","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"South Windsor","0900371390","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Sprague","0901171670","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Stafford","0901372090","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Stamford","0900173070","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Sterling","0901573420","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Stonington","0901173770","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Stratford","0900174190","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Suffield","0900374540","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Thomaston","0900575730","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Thompson","0901575870","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Tolland","0901376290","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Torrington","0900576570","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Trumbull","0900177200","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Union","0901377830","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Vernon","0901378250","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Voluntown","0901178600","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Wallingford","0900978740","2016","Electric","Wallingford-Public Utilities Electric Div.","(203) 265-5055","http://www.town.wallingford.ct.us/Content/Electric_Division.asp"
"Warren","0900579510","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Washington","0900579720","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Waterbury","0900980070","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Waterford","0901180280","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Watertown","0900580490","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"West Hartford","0900382590","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"West Haven","0900982870","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Westbrook","0900781680","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Weston","0900183430","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Westport","0900183500","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Wethersfield","0900384900","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Willington","0901385950","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Wilton","0900186370","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Winchester","0900586440","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Windham","0901586790","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Windsor Locks","0900387070","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Windsor","0900387000","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Wolcott","0900987560","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Woodbridge","0900987700","2016","Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Woodbury","0900587910","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Woodstock","0901588190","2016","Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Andover","0901301080","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Ansonia","0900901220","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Ashford","0901501430","2016","Gas",-666666,-666666,-666666
"Avon","0900302060","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Barkhamsted","0900502760","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Beacon Falls","0900903250","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Berlin","0900304300","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Bethany","0900904580","2016","Gas",-666666,-666666,-666666
"Bethel","0900104720","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Bethlehem","0900504930","2016","Gas",-666666,-666666,-666666
"Bloomfield","0900305910","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Bolton","0901306260","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Bozrah","0901106820","2016","Gas",-666666,-666666,-666666
"Branford","0900907310","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Bridgeport","0900108070","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Bridgewater","0900508210","2016","Gas",-666666,-666666,-666666
"Bristol","0900308490","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Brookfield","0900108980","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Brooklyn","0901509190","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Burlington","0900310100","2016","Gas","Connecticut Natural Gas","(860) 727-3000","www.cngcorp.com"
"Canaan","0900510940","2016","Gas",-666666,-666666,-666666
"Canterbury","0901512130","2016","Gas",-666666,-666666,-666666
"Canton","0900312270","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Chaplin","0901513810","2016","Gas",-666666,-666666,-666666
"Cheshire","0900914160","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Chester","0900714300","2016","Gas",-666666,-666666,-666666
"Clinton","0900715350","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Colchester","0901115910","2016","Gas",-666666,-666666,-666666
"Colebrook","0900516050","2016","Gas",-666666,-666666,-666666
"Columbia","0901316400","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Cornwall","0900517240","2016","Gas",-666666,-666666,-666666
"Coventry","0901317800","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Cromwell","0900718080","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Danbury","0900118500","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Darien","0900118850","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Deep River","0900719130","2016","Gas",-666666,-666666,-666666
"Derby","0900919550","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Durham","0900720810","2016","Gas",-666666,-666666,-666666
"Eastford","0901521860","2016","Gas",-666666,-666666,-666666
"East Granby","0900322070","2016","Gas","Connecticut Natural Gas","(860) 727-3000","www.cngcorp.com"
"East Haddam","0900722280","2016","Gas",-666666,-666666,-666666
"East Hampton","0900722490","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"East Hartford","0900322630","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"East Haven","0900922910","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"East Lyme","0901123400","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Easton","0900123890","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"East Windsor","0900324800","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Ellington","0901325360","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Enfield","0900325990","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Essex","0900726270","2016","Gas",-666666,-666666,-666666
"Fairfield","0900126620","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Farmington","0900327600","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Franklin","0901129910","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Glastonbury","0900331240","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Goshen","0900532290","2016","Gas",-666666,-666666,-666666
"Granby","0900332640","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Greenwich","0900133620","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Griswold","0901133900","2016","Gas",-666666,-666666,-666666
"Groton","0901134250","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Guilford","0900934950","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Haddam","0900735230","2016","Gas",-666666,-666666,-666666
"Hamden","0900935650","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Hampton","0901536000","2016","Gas",-666666,-666666,-666666
"Hartford","0900337070","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Hartland","0900337140","2016","Gas",-666666,-666666,-666666
"Harwinton","0900537280","2016","Gas",-666666,-666666,-666666
"Hebron","0901337910","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Kent","0900540290","2016","Gas",-666666,-666666,-666666
"Killingly","0901540500","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Killingworth","0900740710","2016","Gas",-666666,-666666,-666666
"Lebanon","0901142390","2016","Gas",-666666,-666666,-666666
"Ledyard","0901142600","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Lisbon","0901143230","2016","Gas",-666666,-666666,-666666
"Litchfield","0900543370","2016","Gas",-666666,-666666,-666666
"Lyme","0901144210","2016","Gas",-666666,-666666,-666666
"Madison","0900944560","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Manchester","0900344700","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Mansfield","0901344910","2016","Gas","Connecticut Natural Gas","(860) 727-3000","www.cngcorp.com"
"Marlborough","0900345820","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Meriden","0900946520","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Middlebury","0900946940","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Middlefield","0900747080","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Middletown","0900747360","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Milford","0900947535","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Monroe","0900148620","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Montville","0901148900","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Morris","0900549460","2016","Gas",-666666,-666666,-666666
"Naugatuck","0900949950","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"New Britain","0900350440","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"New Canaan","0900150580","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"New Fairfield","0900150860","2016","Gas",-666666,-666666,-666666
"New Hartford","0900551350","2016","Gas",-666666,-666666,-666666
"New Haven","0900952070","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Newington","0900352140","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"New London","0901152350","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"New Milford","0900552630","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Newtown","0900152980","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Norfolk","0900553470","2016","Gas",-666666,-666666,-666666
"North Branford","0900953890","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"North Canaan","0900554030","2016","Gas",-666666,-666666,-666666
"North Haven","0900954870","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"North Stonington","0901155500","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Norwalk","0900156060","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Norwich","0901156270","2016","Gas","Norwich Public Utilities","(860) 887-2555",-666666
"Old Lyme","0901157040","2016","Gas",-666666,-666666,-666666
"Old Saybrook","0900757320","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Orange","0900957600","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Oxford","0900958300","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Plainfield","0901559980","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Plainville","0900360120","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Plymouth","0900560750","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Pomfret","0901561030","2016","Gas",-666666,-666666,-666666
"Portland","0900761800","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Preston","0901162150","2016","Gas",-666666,-666666,-666666
"Prospect","0900962290","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Putnam","0901562710","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Redding","0900163480","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Ridgefield","0900163970","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Rocky Hill","0900365370","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Roxbury","0900565930","2016","Gas",-666666,-666666,-666666
"Salem","0901166210","2016","Gas",-666666,-666666,-666666
"Salisbury","0900566420","2016","Gas",-666666,-666666,-666666
"Scotland","0901567400","2016","Gas",-666666,-666666,-666666
"Seymour","0900967610","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Sharon","0900567960","2016","Gas",-666666,-666666,-666666
"Shelton","0900168170","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Sherman","0900168310","2016","Gas",-666666,-666666,-666666
"Simsbury","0900368940","2016","Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Somers","0901369220","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Southbury","0900969640","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Southington","0900370550","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"South Windsor","0900371390","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Sprague","0901171670","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Stafford","0901372090","2016","Gas",-666666,-666666,-666666
"Stamford","0900173070","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Sterling","0901573420","2016","Gas",-666666,-666666,-666666
"Stonington","0901173770","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Stratford","0900174190","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Suffield","0900374540","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Thomaston","0900575730","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Thompson","0901575870","2016","Gas",-666666,-666666,-666666
"Tolland","0901376290","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Torrington","0900576570","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Trumbull","0900177200","2016","Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Union","0901377830","2016","Gas",-666666,-666666,-666666
"Vernon","0901378250","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Voluntown","0901178600","2016","Gas",-666666,-666666,-666666
"Wallingford","0900978740","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Warren","0900579510","2016","Gas",-666666,-666666,-666666
"Washington","0900579720","2016","Gas",-666666,-666666,-666666
"Waterbury","0900980070","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Waterford","0901180280","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Watertown","0900580490","2016","Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
