"Town","FIPS","Year","Utility","Name","Telephone","Website"
"Beacon Falls",900903250,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Beacon Falls",900903250,2018,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Beacon Falls",900903250,2018,"Water","Aquarion Water Company","(800) 732-9678","www.aquarion.com"
"Beacon Falls",900903250,2018,"Sewer","Town of Beacon Falls Water Pollution Cntrl","(203) 729-2926","-666666"
"Beacon Falls",900903250,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Beacon Falls",900903250,2018,"Cable","Comcast Seymour","(800) 266-2278","-666666"
"Berlin",900304300,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Berlin",900304300,2016,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Berlin",900304300,2016,"Water","Municipal Provider","Local Contact","-666666"
"Berlin",900304300,2016,"Sewer","-666666","-666666","-666666"
"Berlin",900304300,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Berlin",900304300,2016,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Berlin",900304300,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Berlin",900304300,2018,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Berlin",900304300,2018,"Water","Municipal Provider","Local Contact","-666666"
"Berlin",900304300,2018,"Sewer","-666666","-666666","-666666"
"Berlin",900304300,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Berlin",900304300,2018,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Bethany",900904580,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bethany",900904580,2016,"Gas","-666666","-666666","-666666"
"Bethany",900904580,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Bethany",900904580,2016,"Sewer","-666666","-666666","-666666"
"Bethany",900904580,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bethany",900904580,2016,"Cable","Comcast Seymour","(800) 266-2278","-666666"
"Bethany",900904580,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bethany",900904580,2018,"Gas","-666666","-666666","-666666"
"Bethany",900904580,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Bethany",900904580,2018,"Sewer","-666666","-666666","-666666"
"Bethany",900904580,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bethany",900904580,2018,"Cable","Comcast Seymour","(800) 266-2278","-666666"
"Bethel",900104720,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bethel",900104720,2016,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Bethel",900104720,2016,"Water","Municipal Provider","Local Contact","-666666"
"Bethel",900104720,2016,"Sewer","-666666","-666666","-666666"
"Bethel",900104720,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bethel",900104720,2016,"Cable","Comcast Danbury","(800) 266-2278","-666666"
"Bethel",900104720,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bethel",900104720,2018,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Bethel",900104720,2018,"Water","Municipal Provider","Local Contact","-666666"
"Bethel",900104720,2018,"Sewer","-666666","-666666","-666666"
"Bethel",900104720,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bethel",900104720,2018,"Cable","Comcast Danbury","(800) 266-2278","-666666"
"Bethlehem",900504930,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bethlehem",900504930,2016,"Gas","-666666","-666666","-666666"
"Bethlehem",900504930,2016,"Water","Municipal Provider","Local Contact","-666666"
"Bethlehem",900504930,2016,"Sewer","-666666","-666666","-666666"
"Bethlehem",900504930,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bethlehem",900504930,2016,"Cable","Charter Communications of Western CT","(800) 827-8288","-666666"
"Bethlehem",900504930,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bethlehem",900504930,2018,"Gas","-666666","-666666","-666666"
"Bethlehem",900504930,2018,"Water","Municipal Provider","Local Contact","-666666"
"Bethlehem",900504930,2018,"Sewer","-666666","-666666","-666666"
"Bethlehem",900504930,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bethlehem",900504930,2018,"Cable","Charter Communications of Western CT","(800) 827-8288","-666666"
"Bloomfield",900305910,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bloomfield",900305910,2016,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Bloomfield",900305910,2016,"Water","Municipal Provider","Local Contact","-666666"
"Bloomfield",900305910,2016,"Sewer","-666666","-666666","-666666"
"Bloomfield",900305910,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bloomfield",900305910,2016,"Cable","Comcast Hartford","(800) 266-2278","-666666"
"Bloomfield",900305910,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bloomfield",900305910,2018,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Bloomfield",900305910,2018,"Water","Metropolitan District Commission (MDC)","(860) 278-7850","www.themdc.org"
"Bloomfield",900305910,2018,"Sewer","Metropolitan District Commission (MDC)","(860) 278-7850","www.themdc.org"
"Bloomfield",900305910,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bloomfield",900305910,2018,"Cable","Comcast Hartford","(800) 266-2278","-666666"
"Bolton",901306260,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bolton",901306260,2016,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Bolton",901306260,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Bolton",901306260,2016,"Sewer","-666666","-666666","-666666"
"Bolton",901306260,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bolton",901306260,2016,"Cable","Comcast Vernon","(800) 266-2278","-666666"
"Bolton",901306260,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bolton",901306260,2018,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Bolton",901306260,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Bolton",901306260,2018,"Sewer","-666666","-666666","-666666"
"Bolton",901306260,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bolton",901306260,2018,"Cable","Comcast Vernon","(800) 266-2278","-666666"
"Bozrah",901106820,2016,"Electric","Bozrah Light & Power/Groton Utilities","(860) 446-4000","www.grotonutilities.com/electric_bozrah.asp"
"Bozrah",901106820,2016,"Gas","-666666","-666666","-666666"
"Bozrah",901106820,2016,"Water","Municipal Provider","Local Contact","-666666"
"Bozrah",901106820,2016,"Sewer","-666666","-666666","-666666"
"Bozrah",901106820,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bozrah",901106820,2016,"Cable","Comcast Norwich","(800) 266-2278","-666666"
"Bozrah",901106820,2018,"Electric","Bozrah Light & Power/Groton Utilities","(860) 446-4000","www.grotonutilities.com/electric_bozrah.asp"
"Bozrah",901106820,2018,"Gas","-666666","-666666","-666666"
"Bozrah",901106820,2018,"Water","Municipal Provider","Local Contact","-666666"
"Bozrah",901106820,2018,"Sewer","-666666","-666666","-666666"
"Bozrah",901106820,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bozrah",901106820,2018,"Cable","Comcast Norwich","(800) 266-2278","-666666"
"Branford",900907310,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Branford",900907310,2016,"Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Branford",900907310,2016,"Water","South Central CT Regional Water Auth.","(203) 562-4020","www.rwater.com"
"Branford",900907310,2016,"Sewer","Town of Branford Sewer Auth.","(203) 488-3125","-666666"
"Branford",900907310,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Branford",900907310,2016,"Cable","Comcast Branford","(800) 266-2278","-666666"
"Branford",900907310,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Branford",900907310,2018,"Gas","Southern Connecticut Gas Company","(800) 659-8299","www.soconngas.com"
"Branford",900907310,2018,"Water","South Central CT Regional Water Auth.","(203) 562-4020","www.rwater.com"
"Branford",900907310,2018,"Sewer","Town of Branford Sewer Auth.","(203) 488-3125","-666666"
"Branford",900907310,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Branford",900907310,2018,"Cable","Comcast Branford","(800) 266-2278","-666666"
"Bridgeport",900108070,2016,"Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Bridgeport",900108070,2016,"Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Bridgeport",900108070,2016,"Water","Aquarion Water Company","(800) 732-9678","www.aquarion.com"
"Bridgeport",900108070,2016,"Sewer","City of Bridgeport Water Pollution Cntrl Auth.","(203) 332-5550","-666666"
"Bridgeport",900108070,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bridgeport",900108070,2016,"Cable","Cablevisions Systems of Southern CT","(203) 336-2225","-666666"
"Bridgeport",900108070,2018,"Electric","The United Illuminating Co.","(800) 257-0141","www.uinet.com"
"Bridgeport",900108070,2018,"Gas","Southern Connecticut Gas Company","(800) 659-8299","www.soconngas.com"
"Bridgeport",900108070,2018,"Water","Aquarion Water Company","(800) 732-9678","www.aquarion.com"
"Bridgeport",900108070,2018,"Sewer","City of Bridgeport Water Pollution Cntrl Auth.","(203) 332-5550","-666666"
"Bridgeport",900108070,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bridgeport",900108070,2018,"Cable","Cablevisions Systems of Southern CT","(203) 336-2225","-666666"
"Bridgewater",900508210,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bridgewater",900508210,2016,"Gas","-666666","-666666","-666666"
"Bridgewater",900508210,2016,"Water","-666666","-666666","-666666"
"Bridgewater",900508210,2016,"Sewer","-666666","-666666","-666666"
"Bridgewater",900508210,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bridgewater",900508210,2016,"Cable","Charter Communications of Western CT","(800) 827-8288","-666666"
"Bridgewater",900508210,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bridgewater",900508210,2018,"Gas","-666666","-666666","-666666"
"Bridgewater",900508210,2018,"Water","-666666","-666666","-666666"
"Bridgewater",900508210,2018,"Sewer","-666666","-666666","-666666"
"Bridgewater",900508210,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bridgewater",900508210,2018,"Cable","Charter Communications of Western CT","(800) 827-8288","-666666"
"Bristol",900308490,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bristol",900308490,2016,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Bristol",900308490,2016,"Water","Municipal Provider","Local Contact","-666666"
"Bristol",900308490,2016,"Sewer","-666666","-666666","-666666"
"Bristol",900308490,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bristol",900308490,2016,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Bristol",900308490,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Bristol",900308490,2018,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Bristol",900308490,2018,"Water","Municipal Provider","Local Contact","-666666"
"Bristol",900308490,2018,"Sewer","-666666","-666666","-666666"
"Bristol",900308490,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Bristol",900308490,2018,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Brookfield",900108980,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Brookfield",900108980,2016,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Brookfield",900108980,2016,"Water","Municipal Provider","Local Contact","-666666"
"Brookfield",900108980,2016,"Sewer","-666666","-666666","-666666"
"Brookfield",900108980,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Brookfield",900108980,2016,"Cable","Charter Communications of Western CT","(800) 827-8288","-666666"
"Brookfield",900108980,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Brookfield",900108980,2018,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Brookfield",900108980,2018,"Water","Aquarion Water Company","(800) 732-9678","www.aquarion.com"
"Brookfield",900108980,2018,"Sewer","-666666","-666666","-666666"
"Brookfield",900108980,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Brookfield",900108980,2018,"Cable","Charter Communications of Western CT","(800) 827-8288","-666666"
"Brooklyn",901509190,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Brooklyn",901509190,2016,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Brooklyn",901509190,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Brooklyn",901509190,2016,"Sewer","-666666","-666666","-666666"
"Brooklyn",901509190,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Brooklyn",901509190,2016,"Cable","Charter Communications of Northeastern CT","(800) 827-8288","-666666"
"Brooklyn",901509190,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Brooklyn",901509190,2018,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Brooklyn",901509190,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Brooklyn",901509190,2018,"Sewer","-666666","-666666","-666666"
"Brooklyn",901509190,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Brooklyn",901509190,2018,"Cable","Charter Communications of Northeastern CT","(800) 827-8288","-666666"
"Burlington",900310100,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Burlington",900310100,2016,"Gas","Connecticut Natural Gas","(860) 727-3000","www.cngcorp.com"
"Burlington",900310100,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Burlington",900310100,2016,"Sewer","-666666","-666666","-666666"
"Burlington",900310100,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Burlington",900310100,2016,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Burlington",900310100,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Burlington",900310100,2018,"Gas","Connecticut Natural Gas","(860) 727-3000","www.cngcorp.com"
"Burlington",900310100,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Burlington",900310100,2018,"Sewer","-666666","-666666","-666666"
"Burlington",900310100,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Burlington",900310100,2018,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Canaan",900510940,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Canaan",900510940,2016,"Gas","-666666","-666666","-666666"
"Canaan",900510940,2016,"Water","-666666","-666666","-666666"
"Canaan",900510940,2016,"Sewer","-666666","-666666","-666666"
"Canaan",900510940,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Canaan",900510940,2016,"Cable","Comcast Lakeville","(800) 266-2278","-666666"
"Canaan",900510940,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Canaan",900510940,2018,"Gas","-666666","-666666","-666666"
"Canaan",900510940,2018,"Water","-666666","-666666","-666666"
"Canaan",900510940,2018,"Sewer","-666666","-666666","-666666"
"Canaan",900510940,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Canaan",900510940,2018,"Cable","Comcast Lakeville","(800) 266-2278","-666666"
"Canterbury",901512130,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Canterbury",901512130,2016,"Gas","-666666","-666666","-666666"
"Canterbury",901512130,2016,"Water","Municipal Provider","Local Contact","-666666"
"Canterbury",901512130,2016,"Sewer","-666666","-666666","-666666"
"Canterbury",901512130,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Canterbury",901512130,2016,"Cable","Charter Communications of Northeastern CT","(800) 827-8288","-666666"
"Canterbury",901512130,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Canterbury",901512130,2018,"Gas","-666666","-666666","-666666"
"Canterbury",901512130,2018,"Water","Municipal Provider","Local Contact","-666666"
"Canterbury",901512130,2018,"Sewer","-666666","-666666","-666666"
"Canterbury",901512130,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Canterbury",901512130,2018,"Cable","Charter Communications of Northeastern CT","(800) 827-8288","-666666"
"Canton",900312270,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Canton",900312270,2016,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Canton",900312270,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Canton",900312270,2016,"Sewer","-666666","-666666","-666666"
"Canton",900312270,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Canton",900312270,2016,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Canton",900312270,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Canton",900312270,2018,"Gas","CNG Corp","(860) 727-3000","www.cngcorp.com"
"Canton",900312270,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Canton",900312270,2018,"Sewer","-666666","-666666","-666666"
"Canton",900312270,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Canton",900312270,2018,"Cable","Comcast Plainville","(800) 266-2278","-666666"
"Chaplin",901513810,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Chaplin",901513810,2016,"Gas","-666666","-666666","-666666"
"Chaplin",901513810,2016,"Water","Municipal Provider","Local Contact","-666666"
"Chaplin",901513810,2016,"Sewer","-666666","-666666","-666666"
"Chaplin",901513810,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Chaplin",901513810,2016,"Cable","Charter Communications of Northeastern CT","(800) 827-8288","-666666"
"Chaplin",901513810,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Chaplin",901513810,2018,"Gas","-666666","-666666","-666666"
"Chaplin",901513810,2018,"Water","Municipal Provider","Local Contact","-666666"
"Chaplin",901513810,2018,"Sewer","-666666","-666666","-666666"
"Chaplin",901513810,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Chaplin",901513810,2018,"Cable","Charter Communications of Northeastern CT","(800) 827-8288","-666666"
"Cheshire",900914160,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Cheshire",900914160,2016,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Cheshire",900914160,2016,"Water","South Central CT Regional Water Auth.","(203) 562-4020","-666666"
"Cheshire",900914160,2016,"Sewer","-666666","-666666","-666666"
"Cheshire",900914160,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Cheshire",900914160,2016,"Cable","Cox Communication, Meriden","(800) 955-9515","-666666"
"Cheshire",900914160,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Cheshire",900914160,2018,"Gas","Eversource Energy","(800) 989-0900","www.eversource.com"
"Cheshire",900914160,2018,"Water","South Central CT Regional Water Auth.","(203) 562-4020","-666666"
"Cheshire",900914160,2018,"Sewer","-666666","-666666","-666666"
"Cheshire",900914160,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Cheshire",900914160,2018,"Cable","Cox Communication, Meriden","(800) 955-9515","-666666"
"Chester",900714300,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Chester",900714300,2016,"Gas","-666666","-666666","-666666"
"Chester",900714300,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Chester",900714300,2016,"Sewer","-666666","-666666","-666666"
"Chester",900714300,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Chester",900714300,2016,"Cable","Comcast Clinton","(800) 266-2278","-666666"
"Chester",900714300,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Chester",900714300,2018,"Gas","-666666","-666666","-666666"
"Chester",900714300,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Chester",900714300,2018,"Sewer","-666666","-666666","-666666"
"Chester",900714300,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Chester",900714300,2018,"Cable","Comcast Clinton","(800) 266-2278","-666666"
"Clinton",900715350,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Clinton",900715350,2016,"Gas","Southern Connecticut Gas Company","(203) 382-8111","www.naturalgas.com/scg"
"Clinton",900715350,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Clinton",900715350,2016,"Sewer","-666666","-666666","-666666"
"Clinton",900715350,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Clinton",900715350,2016,"Cable","Comcast Clinton","(800) 266-2278","-666666"
"Clinton",900715350,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Clinton",900715350,2018,"Gas","Southern Connecticut Gas Company","(800) 659-8299","www.soconngas.com"
"Clinton",900715350,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Clinton",900715350,2018,"Sewer","-666666","-666666","-666666"
"Clinton",900715350,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Clinton",900715350,2018,"Cable","Comcast Clinton","(800) 266-2278","-666666"
"Colchester",901115910,2016,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Colchester",901115910,2016,"Gas","-666666","-666666","-666666"
"Colchester",901115910,2016,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Colchester",901115910,2016,"Sewer","-666666","-666666","-666666"
"Colchester",901115910,2016,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Colchester",901115910,2016,"Cable","Comcast Norwich","(800) 266-2278","-666666"
"Colchester",901115910,2018,"Electric","Eversource Energy","(800) 286-2000","www.eversource.com"
"Colchester",901115910,2018,"Gas","-666666","-666666","-666666"
"Colchester",901115910,2018,"Water","Connecticut Water Company","(800) 286-5700","www.ctwater.com"
"Colchester",901115910,2018,"Sewer","-666666","-666666","-666666"
"Colchester",901115910,2018,"Telephone","ATT","(800) 272-4321","www.snet.com"
"Colchester",901115910,2018,"Cable","Comcast Norwich","(800) 266-2278","-666666"
